H21_Cycle_Num,H21_Cycle_Life(%),H21_C_Rest_Start_Volt(V),H21_C_Rest_End_Volt(V),H21_D_Rest_Start_Volt(V),H21_D_Rest_End_Volt(V),H21_CC_Chg_Cur(A),H21_CC_Chg_Volt(V),H21_CC_Chg_CapaCity(Ah),H21_CC_Chg_Energy(Wh),H21_CC_Chg_Time(s),H21_CCCV_Chg_Cur(A),H21_CCCV_Chg_Volt(V),H21_CCCV_Chg_CapaCity(Ah),H21_CCCV_Chg_Energy(Wh),H21_CCCV_Chg_Time(s),H21_CV_Chg_Time(s),H21_CC_Dischg_Cur(A),H21_CC_Dischg_Volt(V),H21_CC_Dischg_CapaCity(Ah),H21_CC_Dischg_Energy(Wh),H21_CC_Dischg_Time(s),H21_Volt_CC_DChg_00s,H21_Volt_CC_DChg_10s,H21_Rin(ohm),DChg_IR,Chg_IR
2,100.11637202989336,4.1954,4.1849,2.7043,3.0078,2.5000999999999998,4.1976,3.965703111111111,15.178805333333333,5710.0,0.1,4.1998,4.875858222222222,19.001175111111113,10357.900000000001,4647.9000000000015,-5.0003,2.5,4.8617244444444445,16.641589333333332,3500.4,3.9753,3.9174,0.011579305241685421,0.041917484950902945,0.47590096396144177
3,99.97637780502124,4.1954,4.1852,2.7151,3.0037,2.5000999999999998,4.1976,3.979604888888889,15.21564266666667,5730.0,0.1,4.1995,4.870967111111111,18.959057777777776,10152.300000000001,4422.300000000001,-5.0003,2.5,4.854926222222223,16.633761777777778,3495.5,3.9849,3.9183,0.013319200847949166,0.04005759654420733,0.4775408983640657
4,99.38887066047418,4.1954,4.1846,2.717,3.0174,2.5,4.1976,3.9726573333333337,15.17984888888889,5720.0,0.1,4.1995,4.857856,18.89723022222222,10162.400000000001,4442.4000000000015,-5.0003,2.5,4.826396444444445,16.515431111111113,3475.1000000000004,3.9747,3.9099,0.012959222446653195,0.04197748135111888,0.4720800000000002
5,99.38309553260451,4.1951,4.1849,2.716,3.0115,2.5,4.1985,3.937758222222222,15.065555555555557,5670.0,0.1,4.1995,4.8338,18.82848,10122.6,4452.6,-5.0,2.5,4.826116,16.524837333333334,3474.9,3.9747,3.9127,0.012399999999999967,0.04203999999999999,0.4748000000000001
6,99.30295762511363,4.1954,4.1849,2.7039,3.0096,2.5000999999999998,4.1976,3.937742222222222,15.058716444444444,5670.0,0.1,4.1995,4.832485333333333,18.816177777777778,10043.900000000001,4373.9000000000015,-5.0,2.5,4.822224444444444,16.520917333333333,3472.1000000000004,3.9784,3.9149,0.012700000000000067,0.041299999999999934,0.47518099276028986
7,99.4513262430139,4.1954,4.1852,2.7114,2.9972,2.5000999999999998,4.1979,3.9377724444444437,15.053735111111111,5670.0,0.09993,4.1995,4.827867377777777,18.79168711111111,10042.800000000001,4372.800000000001,-5.0,2.4996,4.829429333333334,16.564,3477.2000000000003,3.9772,3.9183,0.01177999999999999,0.04160000000000004,0.4802607895684173
8,99.52978011955705,4.1958,4.1861,2.7111,2.9935,2.5000999999999998,4.1979,3.979583555555555,15.202211555555555,5730.0,0.1,4.1995,4.839299555555555,18.812746666666662,9716.400000000001,3986.4000000000015,-5.0,2.4996,4.833239111111111,16.595717333333333,3479.9,3.984,3.9245,0.011899999999999977,0.04041999999999994,0.4817407303707851
9,99.45518853138314,4.1958,4.1861,2.7046,2.9923,2.5000999999999998,4.1982,3.9796008888888887,15.199102222222221,5730.0,0.1,4.1995,4.837688444444444,18.802746666666664,9716.400000000001,3986.4000000000015,-5.0,2.5,4.829616888888888,16.586881777777776,3477.3,3.9834,3.9251,0.011660000000000004,0.04053999999999993,0.4823407063717451
10,99.04180469542604,4.1951,4.1852,2.7061,3.0037,2.5,4.1982,3.958727111111111,15.11333511111111,5700.0,0.1,4.1995,4.829971111111111,18.77212266666666,9844.2,4144.200000000001,-5.0,2.5,4.809542666666666,16.489852444444445,3463.0,3.9862,3.9152,0.014200000000000036,0.03979999999999997,0.47780000000000006
11,99.06621399182605,4.1954,4.1855,2.712,2.9997,2.5000999999999998,4.1976,3.9377693333333332,15.048750222222225,5670.0,0.09995,4.1995,4.815035733333334,18.732824177777776,9806.900000000001,4136.9000000000015,-4.9996,2.5,4.810728,16.505104,3463.8,3.9781,3.9195,0.011720937675013953,0.04148331866549329,0.47914083436662563
