H67_Cycle_Num,H67_Cycle_Life(%),H67_C_Rest_Start_Volt(V),H67_C_Rest_End_Volt(V),H67_D_Rest_Start_Volt(V),H67_D_Rest_End_Volt(V),H67_CC_Chg_Cur(A),H67_CC_Chg_Volt(V),H67_CC_Chg_CapaCity(Ah),H67_CC_Chg_Energy(Wh),H67_CC_Chg_Time(s),H67_CCCV_Chg_Cur(A),H67_CCCV_Chg_Volt(V),H67_CCCV_Chg_CapaCity(Ah),H67_CCCV_Chg_Energy(Wh),H67_CCCV_Chg_Time(s),H67_CV_Chg_Time(s),H67_CC_Dischg_Cur(A),H67_CC_Dischg_Volt(V),H67_CC_Dischg_CapaCity(Ah),H67_CC_Dischg_Energy(Wh),H67_CC_Dischg_Time(s),H67_Volt_CC_DChg_00s,H67_Volt_CC_DChg_10s,H67_Rin(ohm)
2.0,100.27097107687108,4.1973,4.1902,2.6168,3.1773,1.3991,4.1961,2.464660388888889,9.389341083333333,6340.0,0.055799999999999995,4.1992,2.7418698611111116,10.553429,8457.0,2117.0,-2.7983000000000002,2.4993,2.745781305555556,9.808554527777778,3532.7000000000003,4.1,4.059,0.014651752849944423
3.0,100.6507176773342,4.1979,4.1905,2.6097,3.1498,1.3991,4.1967,2.5236216666666667,9.61080436111111,6490.0,0.055799999999999995,4.1998,2.7515808055555557,10.568142055555557,8288.300000000001,1798.300000000001,-2.7983000000000002,2.5,2.756180138888889,9.867830222222224,3545.8,4.1074,4.0711,0.012972161669585024
4.0,100.72519044516496,4.1979,4.1908,2.6035,3.1436,1.3995,4.1964,2.53538375,9.647714138888889,6520.0,0.055799999999999995,4.1995,2.7593663055555564,10.588346027777778,8284.7,1764.7000000000007,-2.7986999999999997,2.4996,2.758219472222222,9.877502638888888,3548.4,4.1086,4.0718,0.013148962018079963
5.0,100.0518507617913,4.1976,4.1905,2.6168,3.1953,1.4002000000000001,4.1964,2.5433258333333333,9.676817611111112,6540.0,0.055799999999999995,4.1992,2.759900333333333,10.586331222222224,8265.4,1725.3999999999996,-2.7976,2.4993,2.739781,9.796306472222224,3525.1000000000004,4.1037,4.0674,0.012975407492136036
6.0,100.1073401557365,4.1976,4.1905,2.6054,3.1916,1.3995,4.1961,2.4918246111111113,9.488119027777781,6410.0,0.055,4.1995,2.7415036111111113,10.536615638888888,8331.6,1921.6000000000004,-2.7976,2.4993,2.7413005,9.798350083333332,3527.1000000000004,4.1015,4.0649,0.013082642264798387
7.0,100.15306397629296,4.1973,4.1905,2.6134,3.1882,1.3995,4.1964,2.499720611111111,9.51719763888889,6430.0,0.055799999999999995,4.1995,2.743857833333333,10.542430833333334,8325.9,1895.8999999999996,-2.7979000000000003,2.5,2.742552583333333,9.804344472222224,3528.6000000000004,4.1028,4.0662,0.013081239501054349
8.0,100.05474077099296,4.1979,4.1905,2.6159,3.1956,1.4005999999999998,4.1967,2.49975575,9.515800083333334,6430.0,0.055799999999999995,4.1995,2.745641833333333,10.548392666666668,8344.6,1914.6000000000004,-2.7979000000000003,2.5,2.7398601388888886,9.792849055555557,3525.2000000000003,4.104,4.0656,0.013724579148647274
9.0,100.73139853793936,4.1979,4.1908,2.6072,3.1432,1.3995,4.1961,2.5075338333333335,9.551823944444445,6450.0,0.055,4.1998,2.7435985833333336,10.543181694444444,8286.300000000001,1836.300000000001,-2.7979000000000003,2.4993,2.758389472222222,9.877150027777777,3548.6000000000004,4.1096,4.0721,0.01340290932485097
10.0,100.82647973923495,4.1979,4.1911,2.6097,3.1321,1.4002000000000001,4.1958,2.5432971944444445,9.670483916666667,6540.0,0.055799999999999995,4.1998,2.762000638888889,10.58894636111111,8258.0,1718.0,-2.7983000000000002,2.5,2.760993138888889,9.8921215,3551.9,4.1102,4.0742,0.012864953721902436
11.0,100.92493177260393,4.1976,4.1911,2.6078,3.1253,1.4002000000000001,4.1964,2.5512281666666667,9.700105944444443,6560.0,0.055799999999999995,4.1995,2.764788277777778,10.596986805555556,8268.6,1708.6000000000004,-2.7983000000000002,2.4987,2.7636891111111117,9.903358833333334,3555.3,4.1096,4.0752,0.012293178000929368
12.0,100.12240492465682,4.1976,4.1908,2.615,3.1882,1.3995,4.1964,2.527468055555556,9.602182444444445,6500.0,0.055799999999999995,4.1995,2.7650074166666667,10.599720333333332,8365.300000000001,1865.300000000001,-2.7979000000000003,2.5,2.7417130277777777,9.8003585,3527.6000000000004,4.1028,4.0665,0.012974016226455793
