H24_Cycle_Num,H24_Cycle_Life(%),H24_C_Rest_Start_Volt(V),H24_C_Rest_End_Volt(V),H24_D_Rest_Start_Volt(V),H24_D_Rest_End_Volt(V),H24_CC_Chg_Cur(A),H24_CC_Chg_Volt(V),H24_CC_Chg_CapaCity(Ah),H24_CC_Chg_Energy(Wh),H24_CC_Chg_Time(s),H24_CCCV_Chg_Cur(A),H24_CCCV_Chg_Volt(V),H24_CCCV_Chg_CapaCity(Ah),H24_CCCV_Chg_Energy(Wh),H24_CCCV_Chg_Time(s),H24_CV_Chg_Time(s),H24_CC_Dischg_Cur(A),H24_CC_Dischg_Volt(V),H24_CC_Dischg_CapaCity(Ah),H24_CC_Dischg_Energy(Wh),H24_CC_Dischg_Time(s),H24_Volt_CC_DChg_00s,H24_Volt_CC_DChg_10s,H24_Rin(ohm)
3,99.63244235263788,4.1985,4.1908,2.5592,2.8605,2.0997,4.099,3.0212024444444445,11.262133333333331,5180.0,0.084,4.1998,3.817801244444445,14.575916088888889,7554.200000000001,2364.2000000000007,-4.1997,2.4993,3.8199848888888885,13.897599111111111,3274.5,4.1359,4.0959,0.009524489844512712
4,99.61437049783034,4.1989,4.1908,2.557,2.8593,2.0998,4.0987,3.027174666666667,11.275830222222224,5190.0,0.08399,4.1998,3.821199288888889,14.578180266666667,7531.400000000001,2341.4000000000005,-4.1997,2.4996,3.819292,13.898679111111111,3273.9,4.1384,4.0972,0.009810224539848061
5,99.58741920698522,4.1989,4.1908,2.5545,2.8574,2.0998,4.0987,3.0271891111111118,11.276008888888889,5190.0,0.08394,4.1998,3.8202474666666664,14.574209422222221,7527.400000000001,2347.4000000000005,-4.1997,2.4993,3.8182586666666665,13.897594666666667,3273.0,4.1372,4.0978,0.00938162249684493
6,99.36995416773604,4.1982,4.1899,2.5613,2.8714,2.0998,4.0993,3.021313777777778,11.253467555555558,5180.0,0.084,4.1995,3.816464,14.561897244444445,7606.1,2446.1000000000004,-4.1994,2.5,3.8099208888888887,13.840621333333333,3266.1000000000004,4.1316,4.0904,0.009810925370290971
7,99.2811366234542,4.1982,4.1896,2.5598,2.8735,2.0995,4.0997,3.009467111111111,11.218701333333332,5160.0,0.084,4.1995,3.809943111111111,14.550138311111112,7628.6,2478.6000000000004,-4.1994,2.4993,3.8065155555555563,13.82259733333333,3263.2000000000003,4.1313,4.0879,0.010334809734724034
8,99.22330436967944,4.1982,4.1892,2.562,2.8745,2.0995,4.099,3.0035908888888887,11.197136888888888,5150.0,0.084,4.1995,3.8075096888888886,14.543040000000001,7645.3,2495.3,-4.1994,2.4996,3.804298222222222,13.812990222222224,3261.3,4.1313,4.0869,0.010572938991284574
9,99.17438632780144,4.1982,4.1896,2.5585,2.8751,2.0995,4.0997,3.0035493333333334,11.198661333333332,5150.0,0.08395999999999999,4.1995,3.8054993777777777,14.536516266666668,7642.1,2492.1000000000004,-4.1994,2.4996,3.8024226666666667,13.805062222222224,3259.7000000000003,4.1294,4.0869,0.010120493403819696
10,99.30652300063734,4.1985,4.1905,2.5579,2.859,2.0997,4.0987,3.0035886666666665,11.199663111111112,5150.0,0.08398,4.1995,3.805983644444445,14.538097777777775,7579.200000000001,2409.2000000000007,-4.1997,2.499,3.807488888888889,13.851302222222225,3263.8,4.1384,4.0941,0.010548372502797767
11,99.28234218657155,4.1985,4.1905,2.5539,2.859,2.0997,4.0987,3.0155008888888886,11.234866666666669,5170.0,0.08395999999999999,4.1995,3.809079111111111,14.5358208,7539.700000000001,2369.7000000000007,-4.1997,2.4993,3.806561777777778,13.85042311111111,3263.0,4.1347,4.0956,0.009310188823011042
12,99.24580435055272,4.1985,4.1908,2.5573,2.859,2.0998,4.0997,3.015472888888889,11.236595555555555,5170.0,0.084,4.1998,3.8078474666666664,14.532768711111112,7553.3,2383.3,-4.1997,2.4993,3.805160888888889,13.846001777777778,3261.8,4.1372,4.0956,0.009905469438293178
13,99.13848604920042,4.1985,4.1905,2.561,2.8692,2.0997,4.0997,3.0154822222222224,11.237059555555556,5170.0,0.084,4.1998,3.806538311111111,14.52746951111111,7531.700000000001,2401.7000000000007,-4.1994,2.4996,3.8010462222222223,13.820064,3258.4,4.1362,4.0956,0.009668047816354605
14,98.94924741563204,4.1982,4.1892,2.5623,2.8754,2.0997,4.0984,2.9919513333333336,11.153205333333332,5130.0,0.084,4.1995,3.7986336,14.510603377777775,7647.900000000001,2527.9000000000005,-4.1994,2.4996,3.7937906666666663,13.773326222222222,3252.3,4.1307,4.086,0.010644377768252547
15,98.8841238233878,4.1982,4.1892,2.5604,2.8772,2.0995,4.0984,2.9860164444444446,11.134255999999999,5120.0,0.084,4.1995,3.794778311111111,14.500824177777778,7674.500000000001,2554.500000000001,-4.1994,2.4993,3.7912937777777778,13.760704,3250.2000000000003,4.131,4.0848,0.011001571653093251
16,98.87906973185726,4.1982,4.1889,2.5589,2.872,2.0995,4.0993,2.9859906666666665,11.136487111111112,5120.0,0.08399,4.1995,3.7925351111111114,14.4941952,7684.400000000001,2544.4000000000005,-4.1994,2.5,3.7910999999999997,13.761027555555556,3250.0,4.1291,4.0842,0.010692003619564738
17,99.02082772572604,4.1985,4.1899,2.5598,2.859,2.0997,4.099,2.9979068888888887,11.177565333333334,5140.0,0.08395,4.1995,3.795618133333333,14.496349866666668,7556.8,2406.8,-4.1997,2.4996,3.7965351111111114,13.813770666666667,3254.4,4.1365,4.0941,0.01009595923518341
18,99.0026863192002,4.1985,4.1905,2.5592,2.859,2.0998,4.0987,3.00386,11.193891555555556,5150.0,0.08399,4.1998,3.798206222222222,14.497964088888889,7530.700000000001,2380.7000000000007,-4.1997,2.5,3.795839555555556,13.813915555555555,3253.8,4.139,4.0953,0.0104055051551302
19,98.9629722880452,4.1985,4.1905,2.5595,2.8583,2.0998,4.0993,3.0038284444444443,11.195006222222222,5150.0,0.084,4.1998,3.796614044444445,14.492997688888888,7548.400000000001,2398.4000000000005,-4.1997,2.499,3.794316888888889,13.807843555555555,3252.5,4.135,4.0947,0.009595923518346603
20,98.95162376600764,4.1985,4.1908,2.5589,2.8555,2.0997,4.0997,3.003826666666667,11.19555911111111,5150.0,0.084,4.1998,3.795596444444445,14.48919893333333,7531.8,2381.8,-4.1997,2.499,3.7938817777777776,13.811340444444443,3252.1000000000004,4.1393,4.0959,0.010334071481296309
21,98.94781001345362,4.1985,4.1908,2.5561,2.8537,2.0998,4.099,3.0038715555555555,11.193725333333333,5150.0,0.084,4.1998,3.795520711111111,14.486458311111111,7526.1,2376.1000000000004,-4.1997,2.499,3.793735555555556,13.815082666666667,3251.9,4.1356,4.0972,0.009143510250732246
22,98.92477680273996,4.1989,4.1908,2.5573,2.8531,2.0998,4.099,3.0038817777777775,11.193107555555557,5150.0,0.084,4.1998,3.794787555555556,14.4825344,7516.500000000001,2366.500000000001,-4.1997,2.5,3.792852444444444,13.815130666666667,3251.1000000000004,4.1384,4.0978,0.00966735719218028
23,98.90238114944415,4.1985,4.1908,2.5576,2.8518,2.0998,4.099,3.0038875555555555,11.192824888888888,5150.0,0.08398,4.1998,3.7937312000000003,14.47767608888889,7504.6,2354.6000000000004,-4.2001,2.499,3.791993777777778,13.814604444444443,3250.3,4.1369,4.0981,0.00923787528868364
24,98.87849013420468,4.1989,4.1908,2.5576,2.8509,2.0998,4.099,3.003887111111111,11.192608,5150.0,0.084,4.1998,3.7928490666666663,14.473683911111111,7496.400000000001,2346.4000000000005,-4.2001,2.4993,3.7910777777777778,13.81324,3249.5,4.1362,4.0987,0.008928358848598756
25,98.84464163129384,4.1989,4.1911,2.5579,2.8512,2.0998,4.0993,3.0038986666666663,11.192639111111111,5150.0,0.08397,4.1998,3.7919630222222223,14.469960533333332,7496.700000000001,2356.7000000000007,-4.1997,2.4993,3.7897800000000004,13.809299555555555,3248.4,4.1365,4.099,0.008929209229230574
26,98.78466486620452,4.1989,4.1908,2.5582,2.8521,2.0998,4.0984,2.998056,11.170300444444443,5140.0,0.08399,4.1998,3.789835377777778,14.463140977777776,7500.400000000001,2360.4000000000005,-4.1997,2.4996,3.7874804444444448,13.79733777777778,3246.5,4.1356,4.0978,0.009000642903064465
27,98.69439832779122,4.1989,4.1908,2.5595,2.8593,2.0998,4.099,2.998051555555556,11.171861333333334,5140.0,0.084,4.1998,3.788130488888889,14.457861688888888,7506.500000000001,2396.500000000001,-4.1997,2.4993,3.784019555555556,13.779879999999999,3243.6000000000004,4.1365,4.0978,0.009214943924565924
28,98.5184788482792,4.1982,4.1892,2.5607,2.8661,2.0997,4.099,2.9804066666666666,11.110555555555557,5110.0,0.084,4.1995,3.781707377777778,14.445397333333332,7630.8,2520.8,-4.1994,2.4993,3.777274666666666,13.727812444444444,3238.1000000000004,4.1307,4.0876,0.010263370957755851
29,98.50048813714302,4.1985,4.1896,2.5623,2.8658,2.0997,4.0997,2.980390888888889,11.114104888888887,5110.0,0.08399,4.1995,3.779179022222222,14.438422755555555,7622.3,2522.3,-4.1994,2.4993,3.776584888888889,13.728007111111111,3237.5,4.1325,4.0885,0.0104776872886604
30,98.46710331235424,4.1985,4.1896,2.5626,2.8658,2.0995,4.0984,2.9745435555555555,11.090992,5100.0,0.08397,4.1995,3.777927111111111,14.434295466666667,7633.1,2533.1000000000004,-4.1994,2.5,3.775304888888889,13.722816,3236.4,4.1328,4.0882,0.010620564842596556
31,98.43310411405368,4.1985,4.1892,2.561,2.8642,2.0995,4.099,2.9745457777777777,11.092140444444443,5100.0,0.084,4.1995,3.7760305777777776,14.42780728888889,7626.3,2516.3,-4.1994,2.5,3.774001333333333,13.71348266666667,3235.3,4.1359,4.0869,0.01166833357146268
