H31_Cycle_Num,H31_Cycle_Life(%),H31_C_Rest_Start_Volt(V),H31_C_Rest_End_Volt(V),H31_D_Rest_Start_Volt(V),H31_D_Rest_End_Volt(V),H31_CC_Chg_Cur(A),H31_CC_Chg_Volt(V),H31_CC_Chg_CapaCity(Ah),H31_CC_Chg_Energy(Wh),H31_CC_Chg_Time(s),H31_CCCV_Chg_Cur(A),H31_CCCV_Chg_Volt(V),H31_CCCV_Chg_CapaCity(Ah),H31_CCCV_Chg_Energy(Wh),H31_CCCV_Chg_Time(s),H31_CV_Chg_Time(s),H31_CC_Dischg_Cur(A),H31_CC_Dischg_Volt(V),H31_CC_Dischg_CapaCity(Ah),H31_CC_Dischg_Energy(Wh),H31_CC_Dischg_Time(s),H31_Volt_CC_DChg_00s,H31_Volt_CC_DChg_10s,H31_Rin(ohm)
2,100.9280055461009,4.1982,4.1886,2.5942,2.9253,2.4494000000000002,4.0984,3.701507777777778,13.853528,5440.0,0.0978,4.2001,4.833469333333333,18.587263999999998,8953.0,3513.0,-4.8988000000000005,2.5,4.855391111111111,17.10884088888889,3567.8,4.1083,4.0656,0.008716420347840278
3,101.19651546846826,4.1982,4.1886,2.6038,2.9182,2.4497,4.0993,3.7354613333333333,13.96252,5490.0,0.0978,4.2001,4.861224888888889,18.67083022222222,8932.400000000001,3442.4000000000015,-4.899100000000001,2.4996,4.868308444444445,17.150999111111112,3577.4,4.1102,4.0662,0.008981241452511602
4,101.12233895571408,4.1982,4.1889,2.6001,2.9241,2.4494000000000002,4.0997,3.749079111111111,14.005335111111112,5510.0,0.09670000000000001,4.1998,4.872897333333333,18.705653333333327,8896.2,3386.2000000000007,-4.8988000000000005,2.5,4.864739999999999,17.118234666666666,3574.9,4.1083,4.0646,0.008920551971911366
5,101.00230216032048,4.1982,4.1886,2.5982,2.9287,2.449,4.0993,3.721428888888889,13.910084444444445,5470.0,0.0978,4.1998,4.8666862222222225,18.700693333333334,9056.800000000001,3586.800000000001,-4.899100000000001,2.5,4.858965333333334,17.086657777777777,3570.7000000000003,4.1071,4.0625,0.009103712926864111
6,101.00845505077936,4.1979,4.1886,2.5954,2.9272,2.4482,4.0981,3.714772,13.882214222222224,5460.0,0.0974,4.1998,4.860849333333333,18.67576888888889,9037.0,3577.0,-4.8988000000000005,2.4996,4.8592613333333325,17.09022577777778,3570.9,4.108,4.0621,0.00936964154486805
7,100.98791770019368,4.1982,4.1883,2.5948,2.9268,2.4494000000000002,4.0993,3.7216168888888888,13.907843555555555,5470.0,0.0978,4.1998,4.862008888888888,18.677912888888887,8997.6,3527.6000000000004,-4.8988000000000005,2.4996,4.858273333333334,17.086567111111112,3570.2000000000003,4.108,4.0628,0.00922674940801818
8,101.31515723914816,4.1982,4.1889,2.5992,2.9101,2.449,4.0987,3.728428,13.934435555555556,5480.0,0.0978,4.2001,4.862696888888888,18.67847288888889,8903.5,3423.5,-4.899100000000001,2.4996,4.874015999999999,17.168184888888888,3581.6000000000004,4.1114,4.0665,0.009164948664040365
9,101.3081359227086,4.1985,4.1889,2.6016,2.9098,2.4494000000000002,4.099,3.7490462222222223,13.994935111111111,5510.0,0.0978,4.2001,4.877161777777777,18.71320888888889,8899.5,3389.5,-4.8988000000000005,2.5,4.873678222222222,17.16245511111111,3581.4,4.1111,4.0668,0.009043030946354346
10,101.3062420149848,4.1982,4.1892,2.601,2.9082,2.4497,4.099,3.749042666666666,13.995112888888888,5510.0,0.0978,4.2001,4.876132444444444,18.709057777777776,8890.0,3380.0,-4.899100000000001,2.4996,4.873587111111111,17.164618666666666,3581.2000000000003,4.1127,4.0674,0.009246596313608645
11,100.9289201649529,4.1982,4.1886,2.6029,2.9253,2.4494000000000002,4.099,3.735384888888889,13.941431111111113,5490.0,0.0978,4.1998,4.873943111111111,18.703850666666664,9014.0,3524.0,-4.8988000000000005,2.5,4.855435111111111,17.06947733333333,3568.2000000000003,4.1086,4.0615,0.009614599493753645
